ID	WO	District	LeadTech	Service	Rush	ReqDate	WorkDate	Techs	WtyLbr	WtyParts	 LbrHrs 	 PartsCost 	Payment	 Wait 	LbrRate	 LbrCost 	 LbrFee 	 PartsFee 	 TotalCost 	 TotalFee 	ReqDay	WorkDay
27	A00126	Northwest	Burton	Deliver	Yes	09-Sep-20	29-Sep-20	1			 0.25 	 88.41 	Account	 20 	80	 20.00 	 20.00 	 88.41 	 108.41 	 108.41 	Wed	Tue
28	A00127	South	Lopez	Deliver		09-Sep-20	29-Sep-20	1			 0.25 	 202.29 	Account	 20 	80	 20.00 	 20.00 	 202.29 	 222.29 	 222.29 	Wed	Tue
03	A00102	Central	Cartier	Deliver		01-Sep-20	17-Sep-20	1			 0.25 	 120.00 	P.O.	 16 	80	 20.00 	 20.00 	 120.00 	 140.00 	 140.00 	Tue	Thu
04	A00103	South	Lopez	Deliver		01-Sep-20	17-Sep-20	1			 0.25 	 16.25 	Account	 16 	80	 20.00 	 20.00 	 16.25 	 36.25 	 36.25 	Tue	Thu
05	A00104	Northwest	Cartier	Deliver	Yes	01-Sep-20	17-Sep-20	1			 0.25 	 45.24 	Account	 16 	80	 20.00 	 20.00 	 45.24 	 65.24 	 65.24 	Tue	Thu
06	A00105	South	Lopez	Assess		01-Sep-20	15-Sep-20	1			 0.25 	 97.63 	Account	 14 	80	 20.00 	 20.00 	 97.63 	 117.63 	 117.63 	Tue	Tue
07	A00106	Central	Cartier	Assess		02-Sep-20	16-Sep-20	2			 0.25 	 29.13 	Account	 14 	140	 35.00 	 35.00 	 29.13 	 64.13 	 64.13 	Wed	Wed
29	A00128	West	Khan	Assess		10-Sep-20	28-Sep-20	1			 0.50 	 120.00 	P.O.	 18 	80	 40.00 	 40.00 	 120.00 	 160.00 	 160.00 	Thu	Mon
30	A00129	Northwest	Michner	Deliver		11-Sep-20	14-Sep-20	1			 0.25 	 120.00 	Account	 3 	80	 20.00 	 20.00 	 120.00 	 140.00 	 140.00 	Fri	Mon
60	A00159	Northwest	Khan	Deliver		24-Sep-20	15-Oct-20	1			 0.25 	 160.00 	Account	 21 	80	 20.00 	 20.00 	 160.00 	 180.00 	 180.00 	Thu	Thu
